Review,Timestamp,Product Name
"I recently purchased the Samsung Galaxy M05 for just under INR 6500, and I must say, I am very impressed! For the price, this phone is an absolute steal and offers incredible value for money.The large display is a real highlight, providing a great viewing experience for day-to-day tasks. Despite being a budget phone, it has a premium feel in hand, which is a pleasant surprise. The build quality is solid, and it doesn’t feel cheap.Battery life is outstanding! It lasts all day with moderate use, and I don’t have to worry about charging frequently. Whether you're browsing the web, checking social media, or streaming videos, it gets the job done efficiently.While it's not a phone meant for heavy tasks like gaming or intensive apps, it excels at handling basic jobs like calling, texting, browsing, and light media consumption. It's perfect if you're looking for a reliable phone for everyday use without breaking the bank.Overall, I’m really happy with my purchase. If you're looking for a budget phone that does the essentials really well, the Samsung Galaxy M05 is an excellent choice!",2025-01-04,mobile
All I can say it's worth it considering that PriceYou can't expect High range Performance in 7k Budget mobilesLet's talk About Mobile- Big Screen Looks good- Build-in Quality is Good- Battery is Good- Camera Quality Below Avg they said 50mp expected more but it's below avg- Processing is Above AvgIt's good for Normal Use not for heavy use,2025-01-14,mobile
"Thankyou so much Amazon India to buy my dream smartphone of our doorstep . Product is good, Delivery person is good and helpful behaviour activity, Perfect price of all retail smartphone shop , easy handling .",2025-02-02,mobile
"Processor- Slow processor but i guess you cant ask for much in this price bracket, the UI is smooth most of the time and its good enough to use social media apps and to watch videos and allCamera- Not very good but well we cant ask for much in this price range.Screen- Its actually really good for normal day to day usage, the colours and the sharpness is very decent,  i dont like the inclusion of thick bezels but i guess again its the price segment so cant ask for much, viewing angles are kinda badBattery- will last you a whole day if you try, it couldve been better thoBuild- Its solid, yes it makes the phone heavy and bulky but yeah its solid and has a good in hand feeling",2024-12-03,mobile
"I've been using this Samsung phone for a bit, and here's the lowdown. Considering it costs around ₹6,500-₹7,000, I think it's a pretty great deal.Sure, there are some compromises. No fingerprint sensor (the face unlock compensates some what for that), and yeah, not having a charger in the box is a bit of a hassle if you don't already have one. The speakers could be better, and a Full HD display would've been nice.But let's be real, at this price point, you can't expect perfection. If you're like me and just need a reliable phone for everyday stuff – calls, texts, social media, and some streaming – this phone gets the job done.Gaming enthusiasts might want to look elsewhere, but for casual users, I think this Samsung device is a solid choice.Would I recommend? Absolutely, for basic usage.",2024-10-11,mobile
Phone quality ✅Battery life ✅Camera ✅Sound ✅No heating issueOverall performance ✅Unfortunately Received with  a very small dent on arrival 🥹( not much eyecatching so didnot bother To replace )Good mobile for sedate users.Great for Elders,2025-02-06,mobile
Small budget Nice phone,2025-02-05,mobile
"LOOKS ARE GOOD, CAMERA IS WORKING FINE. OVERALL GOOD PHONE IN BUDGET. SOME TIMES SHOWS CHARGING ISSUE WITH OTHER CHARGERS. WHEN SWITCH OFF IS CHARGING AND WHEN ON IS NOT WORKING.",2025-01-25,mobile
"I recently purchased the Samsung Galaxy M05 for just under INR 6500, and I must say, I am very impressed! For the price, this phone is an absolute steal and offers incredible value for money.The large display is a real highlight, providing a great viewing experience for day-to-day tasks. Despite being a budget phone, it has a premium feel in hand, which is a pleasant surprise. The build quality is solid, and it doesn’t feel cheap.Battery life is outstanding! It lasts all day with moderate use, and I don’t have to worry about charging frequently. Whether you're browsing the web, checking social media, or streaming videos, it gets the job done efficiently.While it's not a phone meant for heavy tasks like gaming or intensive apps, it excels at handling basic jobs like calling, texting, browsing, and light media consumption. It's perfect if you're looking for a reliable phone for everyday use without breaking the bank.Overall, I’m really happy with my purchase. If you're looking for a budget phone that does the essentials really well, the Samsung Galaxy M05 is an excellent choice!",2025-01-04,mobile
All I can say it's worth it considering that PriceYou can't expect High range Performance in 7k Budget mobilesLet's talk About Mobile- Big Screen Looks good- Build-in Quality is Good- Battery is Good- Camera Quality Below Avg they said 50mp expected more but it's below avg- Processing is Above AvgIt's good for Normal Use not for heavy use,2025-01-14,mobile
